mouse,dia_nm,conc_part_ml,label
JIMT1_no_Irr_no_Ici,278.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,278.25,28637052.06,2012 F7+8 120 9bar
JIMT1_no_Irr_no_Ici,281.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,285.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,288.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,292.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,295.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,299.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,302.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,306.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,309.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,313.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,316.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,320.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,323.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,327.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,330.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,334.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,337.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,341.25,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,344.75,0,2012 6bar 120 F7+8
JIMT1_no_Irr_no_Ici,348.25,58274039.98,2012 6bar 120 F7+8
